epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1126.5,0.8552,4.04471,1.20109,0.20255,0.38619,0.26893,0.20963,0.76883,3.53403,1.11187,0.00017454,0.00017454,0.00017454
2,2242.44,0.75515,2.98518,1.08234,0.44785,0.48146,0.46864,0.38979,0.7751,2.80406,1.09526,0.000315236,0.000315236,0.000315236
3,3370.88,0.7268,2.33349,1.0579,0.63852,0.64112,0.6812,0.56746,0.74848,1.95561,1.06299,0.000421216,0.000421216,0.000421216
4,4413.6,0.70211,1.74117,1.03414,0.7468,0.70713,0.7839,0.66172,0.69798,1.54442,1.03399,0.000369778,0.000369778,0.000369778
5,5381.57,0.67092,1.41039,1.01332,0.85101,0.72253,0.82414,0.6973,0.67245,1.24865,1.00101,0.000317704,0.000317704,0.000317704
6,6329.48,0.64086,1.18602,0.99076,0.86567,0.76963,0.85131,0.72545,0.6666,1.09728,1.01037,0.00026563,0.00026563,0.00026563
7,7320.43,0.61384,1.00218,0.96979,0.90197,0.81221,0.89588,0.76197,0.63484,0.89873,0.98556,0.000213556,0.000213556,0.000213556
8,8308.18,0.59392,0.87737,0.95898,0.91143,0.82481,0.90892,0.77575,0.62416,0.80997,0.97239,0.000161482,0.000161482,0.000161482
9,9269.59,0.57826,0.80534,0.94471,0.94735,0.82974,0.91134,0.78347,0.60481,0.76641,0.9614,0.000109408,0.000109408,0.000109408
10,10249.3,0.56055,0.74747,0.93966,0.94492,0.84127,0.92264,0.79335,0.58962,0.7067,0.95435,5.7334e-05,5.7334e-05,5.7334e-05
